09/05,09/12,09/19,09/26,10/03,10/09,10/17,11/01
33,27,31,30,30,36,41,35
26,25,31,29,36,36,35,44
30,34,30,31,26,31,21,46
28,26,31,30,34,36,37,43
26,22,30,36,27,37,35,36
25,29,28,33,31,30,42,30
26,34,25,34,26,37,27,39
22,35,32,29,36,35,35,42
21,31,30,29,33,36,34,43
24,27,26,24,33,33,35,45
31,34,36,31,31,31,34,36
23,27,27,32,32,30,30,45
32,26,27,35,37,25,40,41
32,32,28,31,37,28,41,45
32,30,24,32,34,29,40,33
30,27,30,33,29,35,34,37
29,28,23,26,42,31,34,38
31,34,32,25,34,29,32,40
25,30,26,31,35,35,39,38
30,29,31,32,26,36,28,45
25,31,33,33,33,36,43,43
30,25,25,29,40,27,38,40
27,26,30,28,36,26,40,39
25,26,26,30,29,33,34,38
27,30,31,30,32,30,39,36
26,29,33,22,30,40,36,35
26,30,29,35,37,28,35,39
33,33,30,34,36,34,34,40
31,31,27,33,32,35,40,30
30,32,35,27,27,32,39,30
29,31,27,29,22,36,26,36
27,28,28,31,34,28,38,33
27,29,31,33,36,35,39,40
26,30,22,27,39,34,44,37
30,24,25,36,30,34,39,41
29,25,30,32,29,35,34,35
27,27,30,30,33,33,37,36
22,29,28,36,32,30,39,44
25,30,31,39,31,34,38,38
23,26,31,30,35,25,29,37